"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":12431}]","12434","instruction","instructions","0","12438","0.0-0.0","4","4_dydc1c","2024-09-14T05:24:50.242Z","","",""
"","3215","","external-html","1","16594","0.0-1.0","4","4_dydc1c","2024-09-14T05:24:50.242Z","consent/consent4.html","",""
"","96702","screening","survey","2","113394","0.0-2.0","4","4_dydc1c","2024-09-14T05:24:50.242Z","","{""intro"":null,""mentality"":""(3) Sometimes"",""psi"":""(2) Very rarely"",""succeed"":""(5) Yes"",""contact"":null}","[]"
