"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":14046}]","14047","instruction","instructions","0","14049","0.0-0.0","3","3_vngh61","2025-05-09T07:21:24.113Z","","",""
"","56181","","external-html","1","71508","0.0-1.0","3","3_vngh61","2025-05-09T07:21:24.113Z","consent/consent3.html","",""
"","59981","screening","survey","2","131535","0.0-2.0","3","3_vngh61","2025-05-09T07:21:24.113Z","","{""intro"":null,""mentality"":""(1) Never"",""psi"":""(1) Never"",""succeed"":""(1) Not at all"",""contact"":null}","[]"
