"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":18363}]","18364","instruction","instructions","0","18365","0.0-0.0","3","3_v82zh8","2024-09-03T05:20:38.382Z","","",""
"","163348","","external-html","1","182267","0.0-1.0","3","3_v82zh8","2024-09-03T05:20:38.382Z","consent/consent3.html","",""
"","44452","screening","survey","2","226769","0.0-2.0","3","3_v82zh8","2024-09-03T05:20:38.382Z","","{""intro"":null,""mentality"":""(4) On a monthly basis"",""psi"":""(4) Occasionally"",""succeed"":""(3) Unlikely"",""contact"":null}","[]"
