"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":16469}]","16471","instruction","instructions","0","16473","0.0-0.0","3","3_n89e47","2025-07-08T03:56:57.866Z","","",""
"","127671","","external-html","1","144793","0.0-1.0","3","3_n89e47","2025-07-08T03:56:57.866Z","consent/consent3.html","",""
"","59817","screening","survey","2","204679","0.0-2.0","3","3_n89e47","2025-07-08T03:56:57.866Z","","{""intro"":null,""mentality"":""(1) Never"",""psi"":""(1) Never"",""succeed"":""(2) Very unlikely"",""contact"":null}","[]"
