"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":83778}]","83785","instruction","instructions","0","83801","0.0-0.0","3","3_8x6eh6","2025-03-17T22:07:22.382Z","","",""
"","490486","","external-html","1","575273","0.0-1.0","3","3_8x6eh6","2025-03-17T22:07:22.382Z","consent/consent3.html","",""
"","83609","screening","survey","2","659003","0.0-2.0","3","3_8x6eh6","2025-03-17T22:07:22.382Z","","{""intro"":null,""mentality"":""(2) Rarely"",""psi"":""(2) Very rarely"",""succeed"":""(4) Likely, yes"",""contact"":null}","[]"
