"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":23274}]","23274","instruction","instructions","0","23274","0.0-0.0","3","3_j4e8vo","2024-07-29T04:35:04.548Z","","",""
"","63531","","external-html","1","87334","0.0-1.0","3","3_j4e8vo","2024-07-29T04:35:04.548Z","consent/consent3.html","",""
"","43183","screening","survey","2","130585","0.0-2.0","3","3_j4e8vo","2024-07-29T04:35:04.548Z","","{""intro"":null,""mentality"":""(5) On a weekly basis"",""psi"":""(5) Frequently"",""succeed"":""(5) Yes"",""contact"":null}","[]"
