"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":25829}]","25831","instruction","instructions","0","25832","0.0-0.0","3","3_jeleol","2025-06-11T08:22:51.992Z","","",""
"","34760","","external-html","1","61414","0.0-1.0","3","3_jeleol","2025-06-11T08:22:51.992Z","consent/consent3.html","",""
"","50642","screening","survey","2","112120","0.0-2.0","3","3_jeleol","2025-06-11T08:22:51.992Z","","{""intro"":null,""mentality"":""(5) On a weekly basis"",""psi"":""(4) Occasionally"",""succeed"":""(5) Yes"",""contact"":null}","[]"
