"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":107537}]","107538","instruction","instructions","0","107538","0.0-0.0","6","6_9xzn1a","2025-02-26T14:18:30.870Z","","",""
"","21377","","external-html","1","129052","0.0-1.0","6","6_9xzn1a","2025-02-26T14:18:30.870Z","consent/consent6.html","",""
"","247702","screening","survey","2","376796","0.0-2.0","6","6_9xzn1a","2025-02-26T14:18:30.870Z","","{""intro"":null,""mentality"":""(1) Nie"",""psi"":""(4) Gelegentlich"",""succeed"":""(4) Wahrscheinlich, ja"",""contact"":null}","[]"
