"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":53880}]","53881","instruction","instructions","0","53883","0.0-0.0","6","6_fl59mg","2025-01-13T14:36:16.287Z","","",""
"","5444","","external-html","1","59374","0.0-1.0","6","6_fl59mg","2025-01-13T14:36:16.287Z","consent/consent6.html","",""
"","55413","screening","survey","2","114845","0.0-2.0","6","6_fl59mg","2025-01-13T14:36:16.287Z","","{""intro"":null,""mentality"":""(2) Selten"",""psi"":""(1) Nie"",""succeed"":""(2) Sehr unwahrscheinlich"",""contact"":null}","[]"
