"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":34860}]","34862","instruction","instructions","0","34863","0.0-0.0","6","6_jhqq95","2025-01-18T07:52:36.376Z","","",""
"","7521","","external-html","1","42486","0.0-1.0","6","6_jhqq95","2025-01-18T07:52:36.376Z","consent/consent6.html","",""
"","76372","screening","survey","2","118916","0.0-2.0","6","6_jhqq95","2025-01-18T07:52:36.376Z","","{""intro"":null,""mentality"":""(2) Selten"",""psi"":""(3) Selten"",""succeed"":""(2) Sehr unwahrscheinlich"",""contact"":null}","[]"
