"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":7586}]","7586","instruction","instructions","0","7592","0.0-0.0","6","6_9mnbzw","2024-11-05T15:22:43.540Z","","",""
"","10502","","external-html","1","18150","0.0-1.0","6","6_9mnbzw","2024-11-05T15:22:43.540Z","consent/consent6.html","",""
"","59208","screening","survey","2","77402","0.0-2.0","6","6_9mnbzw","2024-11-05T15:22:43.540Z","","{""intro"":null,""mentality"":""(5) Auf wöchentlicher Basis"",""psi"":""(1) Nie"",""succeed"":""(1) Überhaupt nicht"",""contact"":null}","[]"
