"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","24715","0.0-0.0","2025-12-16T13:32:50.634Z","2_u3g5ez","","","","","","","","","",""
"","","","","","survey","1","32630","0.0-1.0","2025-12-16T13:32:50.634Z","2_u3g5ez","7868","{""testrun"":""Skip to Videos""}","testrun","","","","","","",""
"","","","","","survey-text","2","34697","0.0-2.0","2025-12-16T13:32:50.634Z","2_u3g5ez","2037","{""subject_id"":""2_u3g5ez""}","welcome","","","","","","",""
"","","","","","instructions","3","39185","0.0-4.0","2025-12-16T13:32:50.634Z","2_u3g5ez","4483","","instructions2","[{""page_index"":0,""viewing_time"":4482}]","","","","","",""
"","","","","","html-button-response","4","40524","0.0-5.0","2025-12-16T13:32:50.634Z","2_u3g5ez","1337","0","videoIntro","","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","14","3","1","../video/22 D Pencil Magic.mp4","../video/22 B Must go faster.mp4"
