"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","76444","0.0-0.0","2025-09-15T15:36:06.009Z","4_000011","","",""
"","","","","","survey","1","143821","0.0-1.0","2025-09-15T15:36:06.009Z","4_000011","67318","{""testrun"":""Experiment""}","testrun"
"","","","","","survey-text","2","1264872","0.0-2.0","2025-09-15T15:36:06.009Z","4_000011","1121014","{""subject_id"":""4_000011""}","welcome"
