"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","71255","0.0-0.0","2025-11-08T14:10:35.260Z","2_978t2f","","","","","","","","","",""
"","","","","","survey","1","75857","0.0-1.0","2025-11-08T14:10:35.260Z","2_978t2f","4546","{""testrun"":""Skip to Videos""}","testrun","","","","","","",""
"","","","","","survey-text","2","90523","0.0-2.0","2025-11-08T14:10:35.260Z","2_978t2f","14566","{""subject_id"":""2_978t2f""}","welcome","","","","","","",""
"","","","","","instructions","3","93100","0.0-4.0","2025-11-08T14:10:35.260Z","2_978t2f","2536","","instructions2","[{""page_index"":0,""viewing_time"":2532}]","","","","","",""
"","","","","","html-button-response","4","95402","0.0-5.0","2025-11-08T14:10:35.260Z","2_978t2f","2296","0","videoIntro","","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","10","0","1","../video/18 A The Bear Necessities.mp4","../video/18 B Bank Robbery.mp4"
