"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","11798","0.0-0.0","2025-05-29T19:08:08.553Z","4_mtbswk","","","","","","","","","","",""
"","","","","","survey","1","19755","0.0-1.0","2025-05-29T19:08:08.553Z","4_mtbswk","7926","{""testrun"":""Skip to Videos""}","testrun","","","","","","","",""
"","","","","","survey-text","2","22203","0.0-2.0","2025-05-29T19:08:08.553Z","4_mtbswk","2394","{""subject_id"":""4_mtbswk""}","welcome","","","","","","","",""
"","","","","","instructions","3","37971","0.0-4.0","2025-05-29T19:08:08.553Z","4_mtbswk","15766","","instructions2","[{""page_index"":0,""viewing_time"":15766}]","","","","","","",""
"","","","","","html-button-response","4","39459","0.0-5.0","2025-05-29T19:08:08.553Z","4_mtbswk","1487","0","videoIntro","","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","21","3","0","../video/29 D Time Warp.mp4","../video/29 A Glow worms in motion.mp4",""
"true","false","[]","[]","[]","preload","5","91388","0.0-6.0","2025-05-29T19:08:08.553Z","4_mtbswk","","","","","","","","","","",""
"","","","","","survey-html-form","6","329828","0.0-7.0-0.0","2025-05-29T19:08:08.553Z","4_mtbswk","238436","{""ClipA"":""62"",""ClipB"":""78""}","videoRating","","","","","","","",""
"","","","","","html-button-response","7","331211","0.0-8.0","2025-05-29T19:08:08.553Z","4_mtbswk","1381","0","videoTargetIntro","","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","[""../video/29 A Glow worms in motion.mp4""]"
