"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","11643","0.0-0.0","2025-05-22T17:40:32.977Z","4_0000p2","","","","","","","","","",""
"","","","","","survey","1","23677","0.0-1.0","2025-05-22T17:40:32.977Z","4_0000p2","12003","{""testrun"":""Skip to Videos""}","testrun","","","","","","",""
"","","","","","survey-text","2","38077","0.0-2.0","2025-05-22T17:40:32.977Z","4_0000p2","14381","{""subject_id"":""4_0000p2""}","welcome","","","","","","",""
"","","","","","instructions","3","220085","0.0-4.0","2025-05-22T17:40:32.977Z","4_0000p2","182006","","instructions2","[{""page_index"":0,""viewing_time"":182005}]","","","","","",""
"","","","","","html-button-response","4","222077","0.0-5.0","2025-05-22T17:40:32.977Z","4_0000p2","1990","0","videoIntro","","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","18","0","3","../video/26 A Underworld explorers.mp4","../video/26 D Chaise Longue.mp4"
"true","false","[]","[]","[]","preload","5","248781","0.0-6.0","2025-05-22T17:40:32.977Z","4_0000p2","","","","","","","","","",""
