"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","14295","0.0-0.0","2024-10-30T12:49:31.255Z","6_ey9rzy","","",""
"","","","","","survey","1","21103","0.0-1.0","2024-10-30T12:49:31.255Z","6_ey9rzy","6707","{""testrun"":""Pilot (Testlauf)""}","testrun"
"","","","","","survey-text","2","74554","0.0-2.0","2024-10-30T12:49:31.255Z","6_ey9rzy","53436","{""subject_id"":""6_ey9rzy""}","welcome"
