"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","25781","0.0-0.0","2025-05-19T11:49:00.598Z","2_k4xqvv","","","","","","","","","",""
"","","","","","survey","1","45303","0.0-1.0","2025-05-19T11:49:00.598Z","2_k4xqvv","19440","{""testrun"":""Skip to Videos""}","testrun","","","","","","",""
"","","","","","survey-text","2","47746","0.0-2.0","2025-05-19T11:49:00.598Z","2_k4xqvv","2417","{""subject_id"":""2_k4xqvv""}","welcome","","","","","","",""
"","","","","","instructions","3","63833","0.0-4.0","2025-05-19T11:49:00.598Z","2_k4xqvv","16084","","instructions2","[{""page_index"":0,""viewing_time"":16084}]","","","","","",""
"","","","","","html-button-response","4","65149","0.0-5.0","2025-05-19T11:49:00.598Z","2_k4xqvv","1314","0","videoIntro","","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","12","0","2","../video/20 A Saloon Tension.mp4","../video/20 C The Terror.mp4"
