"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","25139","0.0-0.0","2024-11-12T12:50:58.838Z","6_p99xja","","",""
"","","","","","survey","1","369351","0.0-1.0","2024-11-12T12:50:58.838Z","6_p99xja","344141","{""testrun"":""Experiment""}","testrun"
"","","","","","survey-text","2","422052","0.0-2.0","2024-11-12T12:50:58.838Z","6_p99xja","52566","{""subject_id"":""6_p99xja""}","welcome"
