"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","11522","0.0-0.0","2025-05-27T18:20:28.606Z","4_0000p3","","","","","","","","","","",""
"","","","","","survey","1","16300","0.0-1.0","2025-05-27T18:20:28.606Z","4_0000p3","4748","{""testrun"":""Skip to Videos""}","testrun","","","","","","","",""
"","","","","","survey-text","2","41060","0.0-2.0","2025-05-27T18:20:28.606Z","4_0000p3","24710","{""subject_id"":""4_0000p3""}","welcome","","","","","","","",""
"","","","","","instructions","3","85724","0.0-4.0","2025-05-27T18:20:28.606Z","4_0000p3","44662","","instructions2","[{""page_index"":0,""viewing_time"":44662}]","","","","","","",""
"","","","","","html-button-response","4","87556","0.0-5.0","2025-05-27T18:20:28.606Z","4_0000p3","1830","0","videoIntro","","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","17","2","0","../video/25 C Goldfish.mp4","../video/25 A The Derelict.mp4",""
"true","false","[]","[]","[]","preload","5","178488","0.0-6.0","2025-05-27T18:20:28.606Z","4_0000p3","","","","","","","","","","",""
"","","","","","survey-html-form","6","353852","0.0-7.0-0.0","2025-05-27T18:20:28.606Z","4_0000p3","175357","{""ClipA"":""26"",""ClipB"":""90""}","videoRating","","","","","","","",""
"","","","","","html-button-response","7","367923","0.0-8.0","2025-05-27T18:20:28.606Z","4_0000p3","14070","0","videoTargetIntro","","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","[""../video/25 A The Derelict.mp4""]"
"","","","","","video-keyboard-response","8","429721","0.0-9.0","2025-05-27T18:20:28.606Z","4_0000p3","null","null","videoTarget","","[""../video/25 A The Derelict.mp4""]","","","","","",""
