"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","20147","0.0-0.0","2025-11-08T14:04:59.141Z","2_978t2f","","","","","","","","","",""
"","","","","","survey","1","49920","0.0-1.0","2025-11-08T14:04:59.141Z","2_978t2f","29599","{""testrun"":""Skip to Videos""}","testrun","","","","","","",""
"","","","","","survey-text","2","52085","0.0-2.0","2025-11-08T14:04:59.141Z","2_978t2f","2143","{""subject_id"":""2_978t2f""}","welcome","","","","","","",""
"","","","","","instructions","3","55076","0.0-4.0","2025-11-08T14:04:59.141Z","2_978t2f","2988","","instructions2","[{""page_index"":0,""viewing_time"":2988}]","","","","","",""
"","","","","","html-button-response","4","57453","0.0-5.0","2025-11-08T14:04:59.141Z","2_978t2f","2373","0","videoIntro","","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","4","1","0","../video/12 B Stork baby.mp4","../video/12 A The Good The Bad and the Ugly.mp4"
