"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","6047","0.0-0.0","2025-07-11T14:32:55.542Z","Expe1234","","","","","","","","","",""
"","","","","","survey","1","26937","0.0-1.0","2025-07-11T14:32:55.542Z","Expe1234","20865","{""testrun"":""Direkt zu den Videos""}","testrun","","","","","","",""
"","","","","","survey-text","2","65131","0.0-2.0","2025-07-11T14:32:55.542Z","Expe1234","38186","{""subject_id"":""Expe1234""}","welcome","","","","","","",""
"","","","","","instructions","3","70067","0.0-4.0","2025-07-11T14:32:55.542Z","Expe1234","4934","","instructions2","[{""page_index"":0,""viewing_time"":4934}]","","","","","",""
"","","","","","html-button-response","4","71779","0.0-5.0","2025-07-11T14:32:55.542Z","Expe1234","1711","0","videoIntro","","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","5","3","2","../video/13 D Meeting the Devil.mp4","../video/13 C The Third Man.mp4"
"true","false","[]","[]","[]","preload","5","77079","0.0-6.0","2025-07-11T14:32:55.542Z","Expe1234","","","","","","","","","",""
