"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","101594","0.0-0.0","2025-06-05T15:40:07.060Z","4_0000p5","","",""
"","","","","","survey","1","287096","0.0-1.0","2025-06-05T15:40:07.060Z","4_0000p5","185429","{""testrun"":""Pilot (Test run)""}","testrun"
"","","","","","survey-text","2","300511","0.0-2.0","2025-06-05T15:40:07.060Z","4_0000p5","13383","{""subject_id"":""4_0000p5""}","welcome"
