"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","18927","0.0-0.0","2025-12-16T13:34:39.223Z","2_u3g5ez","","",""
"","","","","","survey","1","22876","0.0-1.0","2025-12-16T13:34:39.223Z","2_u3g5ez","3918","{""testrun"":""Skip to Videos""}","testrun"
"","","","","","survey-text","2","24585","0.0-2.0","2025-12-16T13:34:39.223Z","2_u3g5ez","1685","{""subject_id"":""2_u3g5ez""}","welcome"
