"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","27537","0.0-0.0","2025-05-19T11:45:56.095Z","2_k4xqvv","","","","","","","","","",""
"","","","","","survey","1","31845","0.0-1.0","2025-05-19T11:45:56.095Z","2_k4xqvv","4051","{""testrun"":""Skip to Videos""}","testrun","","","","","","",""
"","","","","","survey-text","2","36155","0.0-2.0","2025-05-19T11:45:56.095Z","2_k4xqvv","4267","{""subject_id"":""2_k4xqvv""}","welcome","","","","","","",""
"","","","","","instructions","3","38200","0.0-4.0","2025-05-19T11:45:56.095Z","2_k4xqvv","2035","","instructions2","[{""page_index"":0,""viewing_time"":2035}]","","","","","",""
"","","","","","html-button-response","4","40699","0.0-5.0","2025-05-19T11:45:56.095Z","2_k4xqvv","2498","0","videoIntro","","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","13","2","0","../video/21 C Carpe diem.mp4","../video/21 A Children of the Hydra Teeth.mp4"
