"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":2596}]","2598","instruction","instructions","0","2608","0.0-0.0","5","5_yjvz25","2025-03-07T14:23:23.506Z","","",""
"","4840","","external-html","1","7503","0.0-1.0","5","5_yjvz25","2025-03-07T14:23:23.506Z","consent/consent5.html","",""
"","65508","screening","survey","2","73106","0.0-2.0","5","5_yjvz25","2025-03-07T14:23:23.506Z","","{""intro"":null,""mentality"":""(5) Auf wöchentlicher Basis"",""psi"":""(4) Gelegentlich"",""succeed"":""(4) Wahrscheinlich, ja"",""contact"":null}","[]"
