"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":5208}]","5208","instruction","instructions","0","5211","0.0-0.0","5","5_qrku1b","2025-01-19T00:31:02.686Z","","",""
"","47696","","external-html","1","53334","0.0-1.0","5","5_qrku1b","2025-01-19T00:31:02.686Z","consent/consent5.html","",""
"","81389","screening","survey","2","134792","0.0-2.0","5","5_qrku1b","2025-01-19T00:31:02.686Z","","{""intro"":null,""mentality"":""(4) On a monthly basis"",""psi"":""(4) Occasionally"",""succeed"":""(4) Likely, yes"",""contact"":null}","[]"
