"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","8","0.0-0.0","2025-12-14T13:05:55.274Z","2_kv9l2r","","",""
"","","","","","survey-text","1","806445","0.0-1.0","2025-12-14T13:05:55.274Z","2_kv9l2r","806418","{""subject_id"":""2_kv9l2r""}","welcome"
"","","","","","survey","2","850895","0.0-2.0","2025-12-14T13:05:55.274Z","2_kv9l2r","44379","{""age"":""43"",""gender"":""female"",""vegetarian"":""Omnivore: a person who regularly eats most meats, seafood, eggs, dairy products, fruits, vegetables, and grains."",""question1"":null}","survey"
"","","","","","survey","3","1475523","0.0-3.0","2025-12-14T13:05:55.274Z","2_kv9l2r","624607","{""TAS"":{""TAS01"":1,""TAS02"":4,""TAS03"":2,""TAS04"":5,""TAS05"":1,""TAS06"":3,""TAS07"":1,""TAS08"":1,""TAS09"":1,""TAS10"":1,""TAS11"":2,""TAS12"":3,""TAS13"":1,""TAS14"":2,""TAS15"":1,""TAS16"":1,""TAS17"":3,""TAS18"":5,""TAS19"":2,""TAS20"":3,""TAS21"":2,""TAS22"":4,""TAS23"":5,""TAS24"":1,""TAS25"":4,""TAS26"":6,""TAS27"":2,""TAS28"":3,""TAS29"":4,""TAS30"":2,""TAS31"":1,""TAS32"":4,""TAS33"":1,""TAS34"":3},""TASIntro"":null}","TAS"
"","","","","","survey","4","1605341","0.0-4.0","2025-12-14T13:05:55.274Z","2_kv9l2r","129794","{""BQ"":{""BQ01"":2,""BQ02"":2,""BQ03"":2,""BQ04"":1,""BQ05"":1,""BQ06"":4,""BQ07"":2,""BQ08"":1,""BQ09"":4,""BQ10"":2,""BQ11"":4,""BQ12"":4,""BQ13"":1},""BQIntro"":null}","BQ"
"","","","","","survey","5","1746065","0.0-5.0","2025-12-14T13:05:55.274Z","2_kv9l2r","140701","{""BFI"":{""BFI01"":1,""BFI02"":5,""BFI03"":2,""BFI04"":4,""BFI05"":5,""BFI06"":4,""BFI07"":5,""BFI08"":4,""BFI09"":2,""BFI10"":1,""BFI11"":3,""BFI12"":2,""BFI13"":5,""BFI14"":5,""BFI15"":4,""BFI16"":4,""BFI17"":2,""BFI18"":4,""BFI19"":1,""BFI20"":4,""BFI21"":2,""BFI22"":3,""BFI23"":4,""BFI24"":4},""BFIIntro"":null}","BFI2"
"","","","","","survey","6","1785735","0.0-6.0","2025-12-14T13:05:55.274Z","2_kv9l2r","39646","{""BSSS"":{""BSSS01"":4,""BSSS02"":1,""BSSS03"":2,""BSSS04"":1,""BSSS05"":1,""BSSS06"":1,""BSSS07"":1,""BSSS08"":1},""BSSSIntro"":null}","BSSS"
"","","","","","survey","7","2143759","0.0-7.0","2025-12-14T13:05:55.274Z","2_kv9l2r","357922","{""DES1"":80,""DES2"":70,""DES3"":0,""DES4"":0,""DES5"":30,""DES6"":30,""DES7"":0,""DES8"":0,""DES9"":50,""DES10"":10,""DES11"":0,""DES12"":0,""DES13"":0,""DES14"":0,""DES15"":20,""DES16"":10,""DES17"":20,""DES18"":0,""DES19"":30,""DES20"":10,""DES21"":10,""DES22"":10,""DES23"":20,""DES24"":30,""DES25"":10,""DES26"":10,""DES27"":10,""DES28"":0,""DESIntro"":null}","DES"
"","","","","","survey","8","2296064","0.0-8.0","2025-12-14T13:05:55.274Z","2_kv9l2r","152284","{""ASGS"":{""ASGS01"":1,""ASGS02"":0,""ASGS03"":0,""ASGS04"":0,""ASGS05"":0,""ASGS06"":0,""ASGS07"":0,""ASGS08"":0,""ASGS09"":0,""ASGS10"":0,""ASGS11"":0,""ASGS12"":0,""ASGS13"":0,""ASGS14"":0,""ASGS15"":0,""ASGS16"":0},""ASGSIntro"":null}","ASGS"
