"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","2025-02-10T11:42:11.556Z","2_5fysv2","","",""
"","","","","","survey-text","1","98995","0.0-1.0","2025-02-10T11:42:11.556Z","2_5fysv2","98976","{""subject_id"":""2_5fysv2""}","welcome"
"","","","","","survey","2","122630","0.0-2.0","2025-02-10T11:42:11.556Z","2_5fysv2","23575","{""age"":""55"",""gender"":""female"",""vegetarian"":""Omnivore: a person who regularly eats most meats, seafood, eggs, dairy products, fruits, vegetables, and grains."",""question1"":null}","survey"
"","","","","","survey","3","767935","0.0-3.0","2025-02-10T11:42:11.556Z","2_5fysv2","645291","{""TAS"":{""TAS01"":6,""TAS02"":4,""TAS03"":4,""TAS04"":3,""TAS05"":2,""TAS06"":6,""TAS07"":5,""TAS08"":6,""TAS09"":4,""TAS10"":1,""TAS11"":5,""TAS12"":5,""TAS13"":4,""TAS14"":6,""TAS15"":4,""TAS16"":5,""TAS17"":5,""TAS18"":6,""TAS19"":6,""TAS20"":6,""TAS21"":2,""TAS22"":5,""TAS23"":5,""TAS24"":4,""TAS25"":5,""TAS26"":6,""TAS27"":2,""TAS28"":5,""TAS29"":3,""TAS30"":5,""TAS31"":6,""TAS32"":6,""TAS33"":3,""TAS34"":6},""TASIntro"":null}","TAS"
"","","","","","survey","4","1254954","0.0-4.0","2025-02-10T11:42:11.556Z","2_5fysv2","487003","{""BQ"":{""BQ01"":2,""BQ02"":2,""BQ03"":3,""BQ04"":2,""BQ05"":1,""BQ06"":5,""BQ07"":2,""BQ08"":2,""BQ09"":2,""BQ10"":2,""BQ11"":4,""BQ12"":3,""BQ13"":5},""BQIntro"":null}","BQ"
"","","","","","survey","5","1369493","0.0-5.0","2025-02-10T11:42:11.556Z","2_5fysv2","114528","{""BFI"":{""BFI01"":4,""BFI02"":2,""BFI03"":2,""BFI04"":5,""BFI05"":1,""BFI06"":2,""BFI07"":2,""BFI08"":4,""BFI09"":1,""BFI10"":2,""BFI11"":3,""BFI12"":2,""BFI13"":2,""BFI14"":4,""BFI15"":3,""BFI16"":4,""BFI17"":1,""BFI18"":1,""BFI19"":4,""BFI20"":1,""BFI21"":3,""BFI22"":2,""BFI23"":4,""BFI24"":3},""BFIIntro"":null}","BFI2"
"","","","","","survey","6","1403762","0.0-6.0","2025-02-10T11:42:11.556Z","2_5fysv2","34257","{""BSSS"":{""BSSS01"":5,""BSSS02"":2,""BSSS03"":3,""BSSS04"":3,""BSSS05"":5,""BSSS06"":3,""BSSS07"":1,""BSSS08"":1},""BSSSIntro"":null}","BSSS"
"","","","","","survey","7","1640786","0.0-7.0","2025-02-10T11:42:11.556Z","2_5fysv2","236968","{""DES1"":20,""DES2"":30,""DES3"":10,""DES4"":0,""DES5"":0,""DES6"":0,""DES7"":0,""DES8"":0,""DES9"":0,""DES10"":0,""DES11"":10,""DES12"":0,""DES13"":10,""DES14"":40,""DES15"":30,""DES16"":10,""DES17"":30,""DES18"":40,""DES19"":30,""DES20"":40,""DES21"":60,""DES22"":20,""DES23"":10,""DES24"":20,""DES25"":10,""DES26"":0,""DES27"":20,""DES28"":0,""DESIntro"":null}","DES"
"","","","","","survey","8","1793578","0.0-8.0","2025-02-10T11:42:11.556Z","2_5fysv2","152779","{""ASGS"":{""ASGS01"":2,""ASGS02"":2,""ASGS03"":2,""ASGS04"":2,""ASGS05"":2,""ASGS06"":2,""ASGS07"":2,""ASGS08"":2,""ASGS09"":2,""ASGS10"":2,""ASGS11"":2,""ASGS12"":2,""ASGS13"":2,""ASGS14"":1,""ASGS15"":2,""ASGS16"":2},""ASGSIntro"":null}","ASGS"
