"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","9","0.0-0.0","2025-12-20T13:51:47.321Z","2_fgn82s","","",""
"","","","","","survey-text","1","17783","0.0-1.0","2025-12-20T13:51:47.321Z","2_fgn82s","17727","{""subject_id"":""2_fgn82s""}","welcome"
"","","","","","survey","2","85487","0.0-2.0","2025-12-20T13:51:47.321Z","2_fgn82s","67668","{""age"":""83"",""gender"":""male"",""vegetarian"":""Omnivore: a person who regularly eats most meats, seafood, eggs, dairy products, fruits, vegetables, and grains."",""question1"":null}","survey"
