"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","2025-09-22T11:09:10.252Z","1_000023","","",""
"","","","","","survey-text","1","906335","0.0-1.0","2025-09-22T11:09:10.252Z","1_000023","906320","{""subject_id"":""1_000023""}","welcome"
