"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","1","0.0-0.0","2025-05-02T10:59:00.932Z","5_hjvo9k","","",""
"","","","","","survey-text","1","769698","0.0-1.0","2025-05-02T10:59:00.932Z","5_hjvo9k","769694","{""subject_id"":""5_hjvo9k""}","welcome"
