"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","2025-02-04T13:51:26.532Z","6_mguq6q","","",""
"","","","","","survey-text","1","17866","0.0-1.0","2025-02-04T13:51:26.532Z","6_mguq6q","17848","{""subject_id"":""6_mguq6q""}","welcome"
