"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","17","0.0-0.0","2025-06-30T20:38:44.693Z","3_m75fep","","",""
"","","","","","survey-text","1","1499844","0.0-1.0","2025-06-30T20:38:44.693Z","3_m75fep","1499822","{""subject_id"":""3_m75fep""}","welcome"
