"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","2024-10-17T11:58:16.945Z","1_000002","","",""
"","","","","","survey-text","1","4575","0.0-1.0","2024-10-17T11:58:16.945Z","1_000002","4569","{""subject_id"":""1_000002""}","welcome"
"","","","","","survey","2","11901","0.0-2.0","2024-10-17T11:58:16.945Z","1_000002","7245","{""age"":""37"",""gender"":""kvinna"",""vegetarian"":""Kött-reducerare: en person som äter mejeriprodukter, ägg, frukt, grönsaker, spannmål och en minskad mängd animaliska produkter eller skaldjursprodukter. Till exempel en pescetarian (som äter fisk men inga andra djur) eller någon som eliminerar eller minskar sin konsumtion av rött kött"",""question1"":null}","survey"
"","","","","","survey","3","244538","0.0-3.0","2024-10-17T11:58:16.945Z","1_000002","232609","{""TAS"":{""TAS01"":6,""TAS02"":4,""TAS03"":6,""TAS04"":5,""TAS05"":6,""TAS06"":6,""TAS07"":6,""TAS08"":5,""TAS09"":5,""TAS10"":3,""TAS11"":6,""TAS12"":5,""TAS13"":4,""TAS14"":3,""TAS15"":4,""TAS16"":5,""TAS17"":3,""TAS18"":5,""TAS19"":6,""TAS20"":5,""TAS21"":3,""TAS22"":6,""TAS23"":6,""TAS24"":3,""TAS25"":6,""TAS26"":5,""TAS27"":6,""TAS28"":4,""TAS29"":4,""TAS30"":5,""TAS31"":6,""TAS32"":6,""TAS33"":3,""TAS34"":6},""TASIntro"":null}","TAS"
"","","","","","survey","4","295567","0.0-4.0","2024-10-17T11:58:16.945Z","1_000002","50993","{""BQ"":{""BQ01"":3,""BQ02"":5,""BQ03"":3,""BQ04"":4,""BQ05"":1,""BQ06"":4,""BQ07"":5,""BQ08"":3,""BQ09"":5,""BQ10"":5,""BQ11"":3,""BQ12"":5,""BQ13"":5},""BQIntro"":null}","BQ"
"","","","","","survey","5","382292","0.0-5.0","2024-10-17T11:58:16.945Z","1_000002","86689","{""BFI"":{""BFI01"":5,""BFI02"":1,""BFI03"":3,""BFI04"":5,""BFI05"":2,""BFI06"":5,""BFI07"":2,""BFI08"":5,""BFI09"":3,""BFI10"":1,""BFI11"":2,""BFI12"":1,""BFI13"":2,""BFI14"":5,""BFI15"":3,""BFI16"":4,""BFI17"":4,""BFI18"":1,""BFI19"":4,""BFI20"":2,""BFI21"":2,""BFI22"":1,""BFI23"":5,""BFI24"":5},""BFIIntro"":null}","BFI2"
"","","","","","survey","6","490129","0.0-6.0","2024-10-17T11:58:16.945Z","1_000002","107802","{""BSSS"":{""BSSS01"":5,""BSSS02"":3,""BSSS03"":2,""BSSS04"":4,""BSSS05"":5,""BSSS06"":5,""BSSS07"":1,""BSSS08"":1},""BSSSIntro"":null}","BSSS"
"","","","","","survey","7","1764219","0.0-7.0","2024-10-17T11:58:16.945Z","1_000002","1273908","{""DES1"":70,""DES2"":40,""DES3"":10,""DES4"":0,""DES5"":0,""DES6"":0,""DES7"":10,""DES8"":0,""DES9"":30,""DES10"":10,""DES11"":20,""DES12"":0,""DES13"":0,""DES14"":30,""DES15"":0,""DES16"":0,""DES17"":30,""DES18"":30,""DES19"":0,""DES20"":20,""DES21"":20,""DES22"":0,""DES23"":30,""DES24"":50,""DES25"":20,""DES26"":10,""DES27"":0,""DES28"":10,""DESIntro"":null}","DES"
"","","","","","survey","8","2360319","0.0-8.0","2024-10-17T11:58:16.945Z","1_000002","596069","{""ASGS"":{""ASGS01"":2,""ASGS02"":2,""ASGS03"":2,""ASGS04"":2,""ASGS05"":2,""ASGS06"":2,""ASGS07"":2,""ASGS08"":2,""ASGS09"":2,""ASGS10"":2,""ASGS11"":2,""ASGS12"":1,""ASGS13"":1,""ASGS14"":0,""ASGS15"":0,""ASGS16"":0},""ASGSIntro"":null}","ASGS"
