"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part"
"true","false","[]","[]","[]","preload","0","9","0.0-0.0","2025-05-26T10:51:25.783Z","6_63w3ny","","",""
"","","","","","survey-text","1","61611","0.0-1.0","2025-05-26T10:51:25.783Z","6_63w3ny","61580","{""subject_id"":""6_63w3ny""}","welcome"
