"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":414464}]","414466","instruction","instructions","0","414468","0.0-0.0","2","2_978t2f","2025-10-08T22:16:05.563Z","","",""
"","2543","","external-html","1","417420","0.0-1.0","2","2_978t2f","2025-10-08T22:16:05.563Z","consent/consent2.html","",""
"","124657","screening","survey","2","542115","0.0-2.0","2","2_978t2f","2025-10-08T22:16:05.563Z","","{""intro"":null,""mentality"":""(4) On a monthly basis"",""psi"":""(5) Frequently"",""succeed"":""(4) Likely, yes"",""contact"":null}","[]"
