"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":7492465}]","7492471","instruction","instructions","0","7491417","0.0-0.0","2","2_hsw3rx","2024-07-10T08:29:19.149Z","","",""
"","2826","","external-html","1","7494876","0.0-1.0","2","2_hsw3rx","2024-07-10T08:29:19.149Z","consent/consent2.html","",""
"","75978","screening","survey","2","7570955","0.0-2.0","2","2_hsw3rx","2024-07-10T08:29:19.149Z","","{""intro"":null,""mentality"":""(4) On a monthly basis"",""psi"":""(4) Occasionally"",""succeed"":""(4) Likely, yes"",""contact"":null}","[]"
