"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":2984}]","2985","instruction","instructions","0","2986","0.0-0.0","1","1_nh6lyg","2025-09-23T09:42:32.471Z","","",""
"","3836","","external-html","1","7058","0.0-1.0","1","1_nh6lyg","2025-09-23T09:42:32.471Z","consent/consent1_en.html","",""
"","110986","screening","survey","2","118096","0.0-2.0","1","1_nh6lyg","2025-09-23T09:42:32.471Z","","{""intro"":null,""mentality"":""(5) On a weekly basis"",""psi"":""(4) Occasionally"",""succeed"":""(4) Likely, yes"",""contact"":null}","[]"
