"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":6301}]","6301","instruction","instructions","0","6303","0.0-0.0","1","1_24ekal","2026-02-16T14:33:18.333Z","","",""
"","3084","","external-html","1","9397","0.0-1.0","1","1_24ekal","2026-02-16T14:33:18.333Z","consent/consent1.html","",""
"","70649","screening","survey","2","80123","0.0-2.0","1","1_24ekal","2026-02-16T14:33:18.333Z","","{""intro"":null,""mentality"":""(2) Sällan"",""psi"":""(1) Aldrig"",""succeed"":""(1) Inte alls"",""contact"":null}","[]"
