"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","url","response","accuracy"
"[{""page_index"":0,""viewing_time"":65998}]","66022","instruction","instructions","0","66029","0.0-0.0","1","1_3vvseo","2026-02-12T10:54:56.021Z","","",""
"","9116","","external-html","1","75454","0.0-1.0","1","1_3vvseo","2026-02-12T10:54:56.021Z","consent/consent1_en.html","",""
"","73657","screening","survey","2","149384","0.0-2.0","1","1_3vvseo","2026-02-12T10:54:56.021Z","","{""intro"":null,""mentality"":""(4) On a monthly basis"",""psi"":""(1) Never"",""succeed"":""(2) Very unlikely"",""contact"":null}","[]"
