"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","response","accuracy"
"[{""page_index"":0,""viewing_time"":1703}]","1703","instruction","instructions","0","1705","0.0-0.0","6","0rqnmb03zolwge7m","2024-03-13T15:07:02.667Z","",""
"","5956","screening","survey","1","7679","0.0-1.0","6","0rqnmb03zolwge7m","2024-03-13T15:07:02.667Z","{""intro"":null,""mentality"":""(1) Never"",""psi"":""(1) Never"",""succeed"":""(1) Not at all"",""contact"":null,""email"":"""",""phone"":""""}","[]"
