"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","response","accuracy"
"[{""page_index"":0,""viewing_time"":1350}]","1350","instruction","instructions","0","1351","0.0-0.0","6","wrqvahw588mp4s9e","2024-03-13T15:13:28.376Z","",""
"","4800","screening","survey","1","6168","0.0-1.0","6","wrqvahw588mp4s9e","2024-03-13T15:13:28.376Z","{""intro"":null,""mentality"":""(1) Never"",""psi"":""(1) Never"",""succeed"":""(1) Not at all"",""contact"":null,""email"":"""",""phone"":""""}","[]"
