"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","response","accuracy"
"[{""page_index"":0,""viewing_time"":1452}]","1452","instruction","instructions","0","1452","0.0-0.0","6","ckwq6xjv4f3kea9j","2024-03-13T15:03:14.433Z","",""
"","4406","screening","survey","1","5878","0.0-1.0","6","ckwq6xjv4f3kea9j","2024-03-13T15:03:14.433Z","{""intro"":null,""mentality"":""(5) On a weekly basis"",""psi"":""(5) On a weekly basis"",""succeed"":""(5) Yes"",""contact"":null,""email"":"""",""phone"":""""}","[]"
