"view_history","rt","test_part","trial_type","trial_index","time_elapsed","internal_node_id","lab","subject","time","response","accuracy"
"[{""page_index"":0,""viewing_time"":1788}]","1788","instruction","instructions","0","1789","0.0-0.0","6","ph2av7f0nogavc6y","2023-10-20T08:27:36.319Z","",""
"","4553","screening","survey","1","6376","0.0-1.0","6","ph2av7f0nogavc6y","2023-10-20T08:27:36.319Z","{""intro"":null,""mentality"":""(5) On a weekly basis"",""psi"":""(5) On a weekly basis"",""succeed"":""(5) Yes"",""contact"":null,""email"":"""",""phone"":""""}","[]"
